_id_x;ID;APT;COMUNE_CODICE;COMUNE;DENOMINAZIONE;TIPOLOGIA;CATEGORIA;INDIRIZZO;FRAZIONE;CAP;PROV;TELEFONO;TELEFONO2;FAX;WEB;EMAIL;COORDX;COORDY;TOTALE_UNITA;TOTALE_LETTI;TOTALE_BAGNI;geometry;_id_y;CODICE;COD_ISTAT;DESCRIZIONE
1;4945;2;54001;ASSISI; OSTELLO FONTEMAGGIO;Ostello della gioventu';Ostello della gioventu';Via Eremo delle Carceri 24;;06081;PG;075813636;075812317;075813749;www.fontemaggio.it;info@fontemaggio.it;2327078.82923;4770870.82219;16;74;17;POINT (2327078.82923 4770870.82219);2;2;543102;ASSISANO
2;17481;2;54001;ASSISI;A CASA DELLE FATE di Cannelli Lorena;Bed & Breakfast;Bed & Breakfast;Via Metastasio 24;;06081;PG;075813739;075816413;;www.casalefate.it;info@casalefate.it;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);2;2;543102;ASSISANO
3;18660;2;54001;ASSISI;A CASA MODESTINI di Vignoli Francesca;Bed & Breakfast;Bed & Breakfast;Via San Paolo 38;;06081;PG;3491930389;075812252;1782219813;;casamodestini@gmail.com;1956886.0;5128102.0;1;3;1;POINT (1956886 5128102);2;2;543102;ASSISANO
4;18126;2;54001;ASSISI;A CASA TUA di Mantovani Anna;Bed & Breakfast;Bed & Breakfast;Via Piaggia San Pietro 9;;06081;PG;075812987;329 7741497;;;info.acasatua@yahoo.it;1956886.0;5128102.0;2;3;2;POINT (1956886 5128102);2;2;543102;ASSISANO
5;13437;2;54001;ASSISI;ADALGISA di Sensi Adalgisa;Bed & Breakfast;Bed & Breakfast;Via Lorenzo Perosi 33;;06081;PG;075813378;;;;agricola@nizzi.com;2326766.01207;4771047.31195;1;2;1;POINT (2326766.01207 4771047.31195);2;2;543102;ASSISANO
6;9260;2;54001;ASSISI;AGORA';Centro soggiorno studi;Centro soggiorno studi;Voc. Le Case 42;SANTA MARIA DI LIGNANO;06081;PG;075802261;;;;assisiresort1@gmail.com;2333097.47994;4777327.42742;20;35;20;POINT (2333097.47994 4777327.42742);2;2;543102;ASSISANO
7;4948;2;54001;ASSISI;AGRICOLA NIZZI;Agriturismo;4 spighe;Costa di Trex 65;COSTA DI TREX;06081;PG;075813378;;;www.nizzi.com;agricola@nizzi.com;2329234.5407;4774594.86663;6;28;6;POINT (2329234.5407 4774594.86663);2;2;543102;ASSISANO
8;9392;2;54001;ASSISI;AGRITURISMO CASA NOCCHIA TOR DEI MAMMONI;Agriturismo;2 spighe;Costa di Trex 7;COSTA DI TREX;06081;PG;0758019025;;;www.agriturismocasanocchia.it;info@agriturismocasanocchia.it;2330306.71589236;4773159.98499175;4;10;4;POINT (2330306.71589236 4773159.98499175);2;2;543102;ASSISANO
9;4991;2;54001;ASSISI;AGRITURISMO CASA NUOVA;Agriturismo;2 spighe;Pian della Pieve 55;;06081;PG;075802143;;075802143;www.agriturismocasanuova.it;info@agriturismocasanuova.it;2329929.0570708998;4775384.02814428;5;10;5;POINT (2329929.0570709 4775384.02814428);2;2;543102;ASSISANO
10;5048;2;54001;ASSISI;AGRITURISMO COL CACIONE;Agriturismo;3 spighe;Costa di Trex ;COSTA DI TREX;06081;PG;0758019010;3358352477;0758019010;www.agriturismocolcacione.it;colcacione@gmail.com;2330886.5545;4773295.993480001;6;13;6;POINT (2330886.5545 4773295.993480001);2;2;543102;ASSISANO
11;17160;2;54001;ASSISI;AGRITURISMO DOLCE SENTIRE;Agriturismo;2 spighe;Loc.Catecuccio 72;PORZIANO;06081;PG;3396180265;3392232293;;www.agriturismodolcesentireassisi.it;info@agriturismodolcesentireassisi.it;1956886.0;5128102.0;4;10;4;POINT (1956886 5128102);2;2;543102;ASSISANO
12;5018;2;54001;ASSISI;AGRITURISMO IL CASTELLO;Agriturismo;4 spighe;Costa di Trex 25;COSTA DI TREX;06081;PG;075813683;3333282225;075813683;www.agriturismoilcastello.com;info@agriturismoilcastello.com;2329870.5970099997;4773312.45254;9;18;9;POINT (2329870.59701 4773312.45254);2;2;543102;ASSISANO
13;4975;2;54001;ASSISI;AGRITURISMO IL GIRASOLE;Agriturismo;2 spighe;Via Campiglione 2;;06081;PG;075813449;3471030526;075813449;www.agriturismoilgirasole.net;info@agriturismoilgirasole.net;2321257.34415;4772124.77393;5;10;5;POINT (2321257.34415 4772124.77393);2;2;543102;ASSISANO
14;5073;2;54001;ASSISI;AGRITURISMO IL GROTTINO;Agriturismo;2 spighe;Via Campiglione 26;;06081;PG;3779986054;3474799436;;;agri.grottino@gmail.com;2321257.34415;4772124.77393;6;10;4;POINT (2321257.34415 4772124.77393);2;2;543102;ASSISANO
15;5074;2;54001;ASSISI;AGRITURISMO IL PODERE;Agriturismo;5 spighe;Via Casa  Madonna 14;PETRIGNANO;06081;PG;0758038806;3312689221;0758038806;www.agriturismoilpodere.com;agriturismoilpodereassisi@gmail.com;2319532.9862599997;4775286.412380001;5;10;5;POINT (2319532.98626 4775286.412380001);2;2;543102;ASSISANO
16;5017;2;54001;ASSISI;AGRITURISMO LA CANTINA;Agriturismo;2 spighe;Via Campiglione,22 e Voc. S.Martino Via Vaiano, 2 ;;06081;PG;075813386;3388553792;075813386;www.agriturismolacantina.it;agri.lacantina@alice.it;2322844.98721;4772253.12298;9;23;11;POINT (2322844.98721 4772253.12298);2;2;543102;ASSISANO
17;6646;2;54001;ASSISI;AGRITURISMO LA MORA;Agriturismo;3 spighe;Via Fonte Citerna 7;SANTA MARIA DEGLI ANGELI;06081;PG;0758041164;3921248814;0758041164;www.agriturismolamora.com;agriturismolamora@gmail.com;2319089.32046782;4776785.14342046;11;29;10;POINT (2319089.32046782 4776785.14342046);2;2;543102;ASSISANO
18;18538;2;54001;ASSISI;AGRITURISMO LA PALAZZETTA DI ASSISI;Agriturismo;2 spighe;Via della Palazzetta ;STERPETO;06081;PG;0758039223;0758038350;;www.agriturismolapalazzetta.com;info@agriturismolapalazzetta.com;1956886.0;5128102.0;6;19;7;POINT (1956886 5128102);2;2;543102;ASSISANO
19;4976;2;54001;ASSISI;AGRITURISMO LA PANORAMICA;Agriturismo;2 spighe;Via Campiglione 6;;06081;PG;075813482;3397502248;075813482;www.agriturismolapanoramica.it;info@agriturismolapanoramica.it;2321257.34415;4772124.77393;8;20;9;POINT (2321257.34415 4772124.77393);2;2;543102;ASSISANO
20;4905;2;54001;ASSISI;AGRITURISMO LA PIAGGIA;Agriturismo;2 spighe;Viale Giovanna di Savoia 3;;06081;PG;3388894770;3388894770;075816231;www.lapiaggia.it;info@lapiaggia.it;2324937.76390004;4771743.06691309;6;12;6;POINT (2324937.76390004 4771743.06691309);2;2;543102;ASSISANO
